molecular_weight,alogp,topological_polar_surface_area,hydrogen_bond_donors,hydrogen_bond_acceptors,MolWt_rdkit,LogP_rdkit,TPSA_rdkit,HDonors_rdkit,HAcceptors_rdkit,RotBonds_rdkit
373.43,1.41,79.81,0,5,373.4340000000001,1.4096999999999993,79.81000000000002,0.0,5.0,3.0
298.39,2.17,68.29,1,6,298.389,2.1711,68.28999999999999,1.0,6.0,5.0
504.59,2.16,100.95,1,7,504.58700000000033,2.1596,100.94999999999999,1.0,6.0,8.0
396.4,0.85,129.39,2,8,396.3960000000002,0.8533999999999993,129.39000000000001,2.0,8.0,5.0
541.08,4.51,42.01,0,4,541.0780000000002,4.514600000000005,42.010000000000005,0.0,4.0,5.0
756.66,-3.57,328.35,12,20,756.6630000000007,-3.568499999999999,328.35,12.0,20.0,9.0
314.47,5.12,40.46,2,2,314.469,5.115120000000005,40.46,2.0,2.0,8.0
262.35,3.76,46.53,1,3,262.349,3.7638000000000025,46.53,1.0,3.0,2.0
480.42,-1.04,195.6,7,12,480.42200000000025,-1.037600000000001,195.59999999999997,7.0,12.0,5.0
396.4,0.97,127.84,4,4,396.40300000000013,0.966800000000001,127.84000000000002,4.0,4.0,6.0
663.43,-3.65,321.09,7,18,663.4300000000004,-3.6478999999999964,321.0900000000001,7.0,17.0,11.0
456.71,6.91,46.53,1,3,456.7110000000003,6.9083000000000085,46.53,1.0,3.0,0.0
176.17,-2.64,101.15,5,5,176.168,-2.637700000000001,101.15,5.0,5.0,1.0
304.47,5.29,26.3,0,2,304.47400000000005,5.293000000000005,26.3,0.0,2.0,3.0
518.7,2.25,120.0,4,6,518.6990000000002,2.2452000000000023,120.00000000000001,4.0,6.0,8.0
408.49,2.72,94.73,0,7,408.4910000000002,2.7242000000000006,94.72999999999999,0.0,7.0,3.0
398.55,2.67,72.57,3,5,398.54700000000025,2.6686000000000005,72.57000000000001,3.0,5.0,6.0
542.94,13.61,0.0,0,0,542.9360000000004,13.609999999999971,0.0,0.0,0.0,19.0
326.44,3.4,50.16,1,3,326.444,3.4049000000000023,50.160000000000004,1.0,2.0,2.0
189.26,3.15,21.26,1,2,189.25799999999998,3.151300000000001,21.259999999999998,1.0,2.0,0.0
297.35,-0.35,91.18,4,6,297.351,-0.34519999999999973,91.18,4.0,6.0,5.0
380.58,6.94,41.99,1,3,380.57600000000014,6.942500000000007,41.99,1.0,3.0,10.0
330.47,3.84,54.37,1,3,330.4680000000001,3.8384000000000027,54.37,1.0,3.0,1.0
